formType,teamnum,matchNum,autoReachD,autoShotSS,HiGAttempt,HiGAttain,LoGAttain,batter,scaleAttempt,scaleSuccess,broken,CDFCross,DBCross,LBCross,MoatCross,PCCross,RPCross,RWCross,RTCross,SPCross,autoCrossD,autoShotAtp,_id,_rev,language,views,redAlliance,blueAlliance,ballpick,drivetrain,aim,shooter,hpInfo
match,5263,29,YES,YES,0,0,2,on,on,on,,0,0,0,0,0,2,0,0,1,RT,Lo,1d2ea589-a851-5e19-7272-26131ffc244b,1-a245cb802b0bfe76fa9c40a0b7309e48,,,,,,,,,
match,4958,19,YES,on,0,0,0,YES,on,on,,0,0,1,0,0,0,0,0,1,LB,none,1d44ef84-13d2-ce20-2ee4-2b0537cce363,1-86d34769a479cfe7a71f094d74c0842b,,,,,,,,,
match,4906,9,YES,on,4,4,0,YES,on,on,,2,0,1,1,0,0,0,0,0,M,Hi,1dc8ebbe-7e08-d474-80d8-1ba64fe4b1ae,1-b5dee4cc058cad0376502a947bed5b93,,,,,,,,,
match,2523,21,on,on,3,1,0,on,on,on,,0,0,0,0,0,2,0,0,0,N,none,1e6bc37f-0b58-6df6-937d-0ac74b69b6b4,1-3041443a5340efe8d29a71ec7418fa18,,,,,,,,,
match,3525,35,on,on,0,0,0,on,on,on,,0,0,0,0,0,0,1,0,0,LB,none,1f1de3ff-a720-f66d-bb51-d481c48f4ce5,1-7356a2a158e8399cd3920f6608ae6fcf,,,,,,,,,
match,2648,21,YES,on,2,3,0,YES,on,on,,0,0,0,0,0,1,2,0,0,RW,none,1fdb5b57-ef0e-0ab8-55e6-4f196cdd4b80,1-8bca851a1e5578fe857fd73a6664eeeb,,,,,,,,,
match,6224,60,on,on,0,0,0,on,on,on,,0,0,1,0,0,0,1,0,0,RW,none,202602c0-3bdb-95d0-8ffe-d27e70fc06fd,1-199185cda0d5d9823122ad25523b3fbf,,,,,,,,,
match,4925,51,on,on,4,2,0,YES,on,on,,0,0,0,0,0,0,0,0,0,N,none,21de8b06-9eb7-947d-2429-1faa49cc2995,1-fa70f59cd39ec9f71cb9873142d5a9bf,,,,,,,,,
match,125,48,on,on,0,0,0,on,on,on,,0,0,0,0,0,0,0,0,0,N,none,22445c81-5712-aad4-ebe2-8a7813dab8f1,1-9253da9c41c83ebee1dc79791c9e60ba,,,,,,,,,
match,5471,43,YES,on,0,0,0,YES,on,on,,0,0,3,0,0,0,0,0,0,N,none,2311ccc5-2592-b9b4-e850-80f47ac4e82c,1-f1cce9271c4449b90f62f579b09c7863,,,,,,,,,
match,5265,47,YES,on,0,0,0,on,on,on,,0,0,0,0,2,0,0,0,2,M,none,242aeda6-d173-a071-c680-934ee914a9ba,1-b4971773ee2cd487aa905d16d70996a8,,,,,,,,,
pit,3930,,,,,,,,,,,,,,,,,,,,,,24b9d167-fa61-1213-2f07-7e649cb539c2,1-300353679cf226efe8a79cf2b070d0c3,,,,,YES,tread,IR,wheel,"fast breach of all defences
"
match,5752,52,YES,on,0,0,2,YES,on,on,,0,0,0,0,0,0,0,0,0,LB,none,2617a522-5dc8-f1de-e7fd-4c7a6b189b75,1-5060c65c3d266abfd233def98861c749,,,,,,,,,
match,4555,47,YES,on,0,0,0,on,on,on,,0,0,3,0,1,0,0,0,1,LB,none,26b5c936-f7c3-904f-6ab7-733f9813863e,1-58107520a6c074a644ad2ff6a02c6c62,,,,,,,,,
match,172,45,YES,on,0,0,0,YES,on,on,,0,0,0,1,0,0,1,0,0,N,none,27911903-95f0-7587-d24f-81f5e0181f1c,1-801c18da4839b4a18a25daf310e6aeb9,,,,,,,,,
pit,4564,,,,,,,,,,,,,,,,,,,,,,28e7047f-ab05-1b62-df28-af8bc11aab0e,1-cabf738b4c6f88ac67cbc96ff10c493c,,,,,YES,west,DR,wheel,
match,319,47,YES,on,4,1,2,YES,on,on,,0,0,4,0,0,0,1,0,0,RW,Hi,2a75c0c6-b5ac-f7bd-5645-6590bfd59179,1-b845eb0f98619d2d59865a1a7dbcba04,,,,,,,,,
match,3930,18,YES,on,0,0,5,on,on,on,,0,0,0,1,0,0,0,1,0,M,none,2ab0c06e-f1ff-7998-c130-82cd9c968dcc,1-5366f533938c0a9526a28b4aa32a11ce,,,,,,,,,
match,5263,28,on,on,0,0,0,on,on,on,,0,0,0,0,0,0,0,0,0,N,none,2b5ff1aa-5b93-a66f-8423-10157df0865b,1-c99c7ab1c5309c3a2af2fb1a9e961d66,,,,,,,,,
match,4042,24,YES,on,0,0,0,on,on,on,Fell over,0,0,0,0,0,0,0,0,0,N,none,2b657e57-b12e-400d-271d-d14d2894d6c0,1-fa9238cb4650d3ba2b2d189bb18d115b,,,,,,,,,
pit,133,,,,,,,,,,,,,,,,,,,,,,2c14cdec-8f88-037b-4857-6057034856a8,1-05f030daedecd22fe0e159f67a2cd8fe,,,,,on,west,DR,cat,"both image tracking and dead reckoning

igh goal goal clumbing"
match,5633,19,on,on,0,0,1,on,on,on,they got stuck on the sally port,0,0,0,0,0,0,1,0,0,N,none,2c3c8c23-3acc-fe57-34cb-a9f6a66f4cef,1-d9152a73d65158c760a81fb91224fb78,,,,,,,,,
match,166,45,YES,on,5,2,0,YES,on,on,,0,0,0,0,2,2,0,0,0,PC,Hi,2ca04932-bd5e-9822-feb5-df37bf4b48d5,1-941699343e95b8d1dbcfc53e0297a472,,,,,,,,,
match,4555,34,on,on,0,0,0,YES,on,on,,2,0,0,1,0,0,0,0,0,N,none,2d11c76f-d4d4-fb1c-784e-b1320693dbd5,1-94e43add70818dffe06cbdbbb9fbe138,,,,,,,,,
