formType,teamnum,matchNum,autoReachD,autoShotSS,HiGAttempt,HiGAttain,LoGAttain,PCCross,LBCross,CDFCross,MoatCross,SPCross,DBCross,RTCross,RWCross,RPCross,scaleAttempt,scaleSuccess,broken,autoCrossD,autoShotAtp,matchnum,ballpick,drivetrain,aim,shooter,language,views,redAlliance,blueAlliance,_id,_rev
match,151,2,YES,on,0,0,0,0,0,2,0,0,0,0,2,0,on,on,,LB,none,,,,,,,,,,2bcf0415-5fad-7f6b-bfca-8602c0ce741b,1-d7ef743331be808b39e36f51dbac0d2c
match,6201,6,YES,on,0,0,0,0,0,0,0,0,0,0,0,0,on,on,got tangled up in the flaps of the low bar,LB,none,,,,,,,,,,2c2722c0-cc41-2519-0a1d-50aafca60cbc,1-37342e989a4a427828f6c583398829b4
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,2d4a7aea-5cca-b7cf-24cf-d72be079a019,1-da704e87d7726667950433c0d0fe03e3
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,2e051008-6bb4-f247-a014-a2b05d97e2db,1-3d860a25453d1ad2b52751adffab4cb2
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,2e3338e4-ad8e-24d5-a47f-b274965be822,1-3145773c001f693cbef51d33c22ac763
match,3930,9,YES,on,0,0,3,0,5,0,0,0,0,0,2,0,on,on,,RW,none,,,,,,,,,,2f84eaee-ca88-f712-f8a1-ff273388f1d4,1-ef5def9235ab7c9b17a8e3b7e6266a38
pit,5459,,,,,,,,,,,,,,,,,,,,,,on,mecanum,DR,wheel,,,,,2faf2259-d130-68b1-0e2d-83199f7c20b4,1-78338a38d564f448e228de8194f12990
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,30d68211-8610-4f24-3dd5-1ea9ee68afa0,1-f96e38cc6054b575319244cdcadb9c6d
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,31d67d84-c19b-f730-f6c8-01fcf0a11d1c,1-3b20759754252aa65a1dfab0a7b3ea35
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,320d3b0f-00b7-3068-edf9-e09ea950ad23,1-83f8135afd29d631259e68f5acdd1721
match,4905,13,on,on,0,0,2,0,3,2,2,0,0,0,1,0,on,on,,M,none,,,,,,,,,,330ac551-2a1b-5a74-0e96-12495705dae1,1-cf4781ac26a2b2b835a092e55bbc7ed2
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,337b52fd-c251-1e09-c0f6-47e824f4c9be,1-295ff272abf2fd2600c6bb758b510d62
match,3930,14,YES,on,0,0,2,2,3,0,0,0,0,0,0,0,on,on,good at low goals,RW,none,,,,,,,,,,350a0e2e-b18d-7a1c-427c-23ae3240b623,1-5f0beedf1a60311445ed860dfce62baf
match,2713,12,on,YES,0,0,0,2,0,0,0,0,0,0,0,0,on,on,,N,none,,,,,,,,,,376d120a-cec2-9457-c5da-5a17aa4c3bd5,1-ce63e1cd95b5363901dcde1c6a8b47b0
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,378a2118-22a1-b658-c0b9-af5c2fecd89b,1-24ca47ea9b425fac9b4140a76b69919a
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,37fdb3b5-56d3-40d8-7097-023793f277ac,1-66e5895ea0dc995e219118f49a5efd35
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,3a0226a1-dbe9-79ae-e153-186c10ba3da8,1-67cc57580e0e399b204e73d1de4d8917
match,151,9,YES,on,0,0,0,0,0,0,0,0,0,0,0,0,on,on,,N,none,,,,,,,,,,3fdf065f-e2cd-8177-34b5-95c85da7968d,1-396051614a979c12ff35f7b460a6cf86
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,42b2b844-1930-1576-1b1d-1dc07173fa61,1-c118917b0a3e613276e6a2a3bbb52298
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,43397169-fa43-d6a8-57c7-aad788b3316d,1-2e217f2e20065e4d16ca46da81ed844c
match,1474,,on,on,0,0,0,0,0,0,0,0,0,0,0,,on,on,didnt move,N,none,50,,,,,,,,,43b7f24f-1cc7-6663-1ff8-32042665e062,1-857dfd88721db85f0051059c6ff2f882
match,4905,6,on,on,0,0,0,0,1,2,0,0,2,2,0,0,on,on,,N,none,,,,,,,,,,44184a4f-8820-5739-586f-5c9a56bbce06,1-163a96876cf241db7e53dec694fd0156
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,4676afd2-b5f8-6d52-e578-30ce43a5a05c,1-1ac535ae23a01887c294750e1b4b3a28
match,1073,5,YES,on,0,0,0,0,3,0,0,0,1,0,1,0,on,on,,N,none,,,,,,,,,,48b40d34-0078-b390-558a-9122dc6aed28,1-6232bd9dd6e4075559dedbcc703975d1
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,4a90964d-34cb-41de-5dcd-b780ded99052,1-8a5204add27c595522326b75c3a7546d
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,4aa2e78a-3124-b583-14bf-95062e70764b,1-454d616498b501099ec6236d110ddaba
pit,1474,,,,,,,,,,,,,,,,,,,,,,YES,west,DR,wheel,,,,,52da789b-9d07-5b66-bce3-5a0a3ce0c3e9,1-85297505864305a0323c6e91c6ae70da
match,58,,YES,on,0,0,0,0,0,0,0,0,3,0,0,0,on,on,,N,none,,,,,,,,,,599b0369-c670-71a1-9145-00c0b96a078a,1-79942c0019edeeb4923fc4da0cf689df
match,2876,6,YES,on,0,0,0,0,0,0,0,0,2,2,0,0,on,on,,RT,none,,,,,,,,,,5a689b95-2fff-c97a-840f-0fb9a4c73580,1-6ee0fe1b2390c93c6e4c3c5e04f7b5ba
match,4474,10,on,on,0,0,0,1,0,0,0,0,0,0,1,1,on,on,,N,none,,,,,,,,,,5d090028-1e51-4879-c851-b11ab14b3da2,1-a0b96e651174396c26d6201a4b223dde
match,1058,8,YES,on,0,0,3,0,2,0,0,0,0,0,0,0,YES,YES,,LB,none,,,,,,,,,,6081b488-6033-4b30-11e5-8315392940e0,1-b7b54baa6c04f0717d268d9d9cfcc933
match,6161,6,on,on,0,0,0,0,0,0,0,1,0,0,1,0,on,on,stopped working halfway through,N,none,,,,,,,,,,633fb5a9-da55-bd49-cd05-330743640fd4,1-eeb1f8f21050e777a0a0cb0e120fd0f8
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,662a8a5c-54b8-eac4-2f49-0f0cf6d537da,1-79ca35bd0259bed78bdd582c5eff89ee
match,5962,1,on,on,0,0,0,0,0,0,5,0,0,0,0,0,on,on,,N,none,,,,,,,,,,696df2e4-68e4-3793-7b83-95a17df82eaf,1-da9b087170ece52a788155ef7ea819d4
match,1474,,on,on,0,0,0,0,0,0,0,0,0,0,0,,on,on,didnt move,N,none,50,,,,,,,,,6a10fd15-c193-1500-8b73-98adb4c2cb59,1-32f4378b4cd0a220111f0517080c795b
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,6ab087f9-4965-46e6-9345-e323c90b2462,1-a447badea81cf7e1dc215ddc43b7fbec
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,6bfe880d-d7ee-6070-4ae0-8f5d99cab1e7,1-c92fc9a90bca7c57c4598bcf227ed055
match,5459,,on,on,0,0,0,0,0,0,0,0,0,0,0,0,on,on,,N,none,,,,,,,,,,6d4ae8ea-ae55-19e5-b069-34b563f6e48c,1-a03915e82cfb042fc1dbf635e83d45bd
match,1699,3,on,on,2,0,0,0,0,0,0,0,0,0,2,1,on,on,,N,none,,,,,,,,,,6f21be6a-defd-61d8-26ed-e3bef84fffb8,1-77f05054aaa2279246609c2d968b6cf6
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,6f82b324-35b7-6391-8728-ec092832353f,1-7ff0dec2f6ae6e8d4cfbe944d846f9fd
pit,2876,,,,,,,,,,,,,,,,,,,,,,YES,west,DR,none,,,,,6fc6175a-b000-6809-a475-3032f8ca3228,1-df47379fdbd508641d8d2c5d1f4eca4a
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,708a7d84-4a53-797c-2927-6fb2b2f5cb99,1-753a250aac16c423b4ec00a6d0f25b24
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,728f3d4d-6ff8-8b72-298a-c43a7d8e8bd6,1-a2a401a6e5caf126505ffd75c68e0a72
match,5563,14,on,on,0,0,0,0,0,0,0,0,0,0,0,0,on,on,Did nothing.,N,none,,,,,,,,,,736a6701-4dee-8a96-f80f-fd3a93bd42bc,1-ebc46c51c960aa9bfe278abc5f16d229
match,246,14,YES,on,0,0,0,0,0,0,2,0,0,0,1,0,on,on,,M,none,,,,,,,,,,742fc5b4-d41c-999e-7ea3-fd7fb236f424,1-ebec0fb31470ba8d208f5d8bcdc7d263
