formType,teamnum,matchNum,autoReachD,autoShotSS,HiGAttempt,HiGAttain,LoGAttain,PCCross,LBCross,CDFCross,MoatCross,SPCross,DBCross,RTCross,RWCross,RPCross,scaleAttempt,scaleSuccess,broken,autoCrossD,autoShotAtp,matchnum,ballpick,drivetrain,aim,shooter,language,views,redAlliance,blueAlliance,_id,_rev
match,4311,22,YES,on,0,0,0,0,3,0,0,0,0,0,0,3,on,on,,LB,none,,,,,,,,,,1ee0957f-ff10-2200-e22c-4042e695e3b3,1-e0bc698a6ad57b3503626345df8ab904
match,4474,29,on,on,0,0,0,0,0,0,0,0,3,0,3,0,on,on,,N,none,,,,,,,,,,22c51377-f0b3-6444-ef70-9db583a5da49,1-66b9e4b55e0ddff0a9ea88ac39cdc59d
match,4929,11,YES,on,0,0,0,0,0,0,0,0,0,1,0,0,on,on,Suddenly got stuck in neutral zone at start of mstch,LB,none,,,,,,,,,,232f4d13-7894-f5b4-ebfe-631cbff6187c,1-3e67d1f3350bfd31cbeef7386a1a609f
match,2084,9,YES,on,1,0,1,0,1,0,0,0,0,0,2,2,on,on,,N,none,,,,,,,,,,2338516a-8c7a-da61-b6aa-40604f3c74a7,1-5bd8f581c1ca08ee6d7160d9f1ddc39f
match,1761,11,on,on,0,0,0,0,0,0,0,0,0,0,0,0,on,on,they didnt show up,N,none,,,,,,,,,,2385b247-e72d-725b-731c-cb6534d3117c,1-d8219d3f174486b4275392cbf316d6b8
pit,3566,,,,,,,,,,,,,,,,,,,,,,YES,traction,DR,none,,,,,2450a52b-5d27-f723-96e9-9b9a90597a78,1-18599825bdee639e67deac1b5f3fe355
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,24ebbf0d-bd89-0232-99b2-b632896656f2,1-d0d9fafa06a6dce55cd4f468107ebc77
match,319,20,on,on,1,0,0,0,1,2,0,0,0,0,0,0,on,on,,N,none,,,,,,,,,,2565fcb0-c9ee-7a91-70a9-b1f20691a074,1-441cb9dc7b36702a417db954beb2f2cf
match,2084,21,YES,on,0,0,0,0,0,1,0,0,0,0,0,0,on,on,,RT,Lo,,,,,,,,,,25aeeaec-227f-2ae6-fd0b-cdc5c8f8d724,1-fde015544d7f4dd2c0ff5f79033aea27
match,4929,7,YES,on,0,0,0,0,0,0,0,0,0,0,0,0,on,on,can't drive well,N,none,,,,,,,,,,25ed06a0-5641-0df2-a86d-f71f66005794,1-52388b39ed8108691d959302bbdd5bd5
match,2876,38,on,on,0,0,0,0,0,0,0,0,1,2,0,2,on,on,,N,none,,,,,,,,,,26d82824-4f76-6c2f-9475-379d5a26d7ce,1-6eda97d07e9e14099d164bb6a56c6441
match,4169,37,YES,on,0,0,0,0,0,0,2,0,0,2,0,0,on,on,,M,none,,,,,,,,,,279d044b-aece-cbed-8ece-58a1c01ff43b,1-3cb8c919ec4085030198eab021f482cd
match,151,18,YES,on,0,0,0,0,1,1,0,1,0,0,0,0,on,on,,LB,none,,,,,,,,,,27dfb3f7-259b-6663-90be-7ea817893b70,1-a321fdcc5e8d2143cea4a6b44a8b5272
match,5962,7,on,on,0,0,0,0,0,0,0,0,0,0,2,1,on,on,,N,none,,,,,,,,,,2801de74-8222-d49f-96cd-8c89c8944ddc,1-c2ae997e007117f17eb1c1b919abd6e8
